ETS_path,Maintenance_coefficient,ATPM_bound_value,Growth_Rate,O2_concentration
NI_BD_R,0.9,500.0,0.0,12
NI_BD_R,0.9,499.74987493746875,0.0,12
NI_BD_R,0.9,499.4997498749375,0.0,12
NI_BD_R,0.9,499.24962481240624,0.0,12
NI_BD_R,0.9,498.999499749875,0.0,12
NI_BD_R,0.9,498.74937468734373,0.0,12
NI_BD_R,0.9,498.4992496248124,0.0,12
NI_BD_R,0.9,498.24912456228117,0.0,12
NI_BD_R,0.9,497.9989994997499,0.0,12
NI_BD_R,0.9,497.74887443721866,0.0,12
NI_BD_R,0.9,497.4987493746874,0.0,12
NI_BD_R,0.9,497.2486243121561,0.0,12
NI_BD_R,0.9,496.99849924962484,0.0,12
NI_BD_R,0.9,496.7483741870936,0.0,12
NI_BD_R,0.9,496.49824912456234,0.0,12
NI_BD_R,0.9,496.248124062031,0.0,12
NI_BD_R,0.9,495.99799899949977,0.0,12
NI_BD_R,0.9,495.7478739369685,0.0,12
NI_BD_R,0.9,495.49774887443726,0.0,12
NI_BD_R,0.9,495.247623811906,0.0,12
NI_BD_R,0.9,494.9974987493747,0.0,12
NI_BD_R,0.9,494.74737368684345,0.0,12
NI_BD_R,0.9,494.4972486243122,0.0,12
NI_BD_R,0.9,494.24712356178094,0.0,12
NI_BD_R,0.9,493.9969984992497,0.0,12
NI_BD_R,0.9,493.7468734367184,0.0,12
NI_BD_R,0.9,493.4967483741871,0.0,12
NI_BD_R,0.9,493.24662331165587,0.0,12
NI_BD_R,0.9,492.9964982491246,0.0,12
NI_BD_R,0.9,492.74637318659336,0.0,12
NI_BD_R,0.9,492.49624812406205,0.0,12
NI_BD_R,0.9,492.2461230615308,0.0,12
NI_BD_R,0.9,491.99599799899954,0.0,12
NI_BD_R,0.9,491.7458729364683,0.0,12
NI_BD_R,0.9,491.495747873937,0.0,12
NI_BD_R,0.9,491.2456228114057,0.0,12
NI_BD_R,0.9,490.99549774887447,0.0,12
NI_BD_R,0.9,490.7453726863432,0.0,12
NI_BD_R,0.9,490.49524762381196,0.0,12
NI_BD_R,0.9,490.24512256128065,0.0,12
NI_BD_R,0.9,489.9949974987494,0.0,12
NI_BD_R,0.9,489.74487243621815,0.0,12
NI_BD_R,0.9,489.4947473736869,0.0,12
NI_BD_R,0.9,489.24462231115564,0.0,12
NI_BD_R,0.9,488.9944972486243,0.0,12
NI_BD_R,0.9,488.7443721860931,0.0,12
NI_BD_R,0.9,488.4942471235618,0.0,12
NI_BD_R,0.9,488.24412206103057,0.0,12
NI_BD_R,0.9,487.9939969984993,0.0,12
NI_BD_R,0.9,487.743871935968,0.0,12
NI_BD_R,0.9,487.49374687343675,0.0,12
NI_BD_R,0.9,487.2436218109055,0.0,12
NI_BD_R,0.9,486.99349674837424,0.0,12
NI_BD_R,0.9,486.74337168584293,0.0,12
NI_BD_R,0.9,486.4932466233117,0.0,12
NI_BD_R,0.9,486.2431215607804,0.0,12
NI_BD_R,0.9,485.99299649824917,0.0,12
NI_BD_R,0.9,485.7428714357179,0.0,12
NI_BD_R,0.9,485.4927463731866,0.0,12
NI_BD_R,0.9,485.24262131065535,0.0,12
NI_BD_R,0.9,484.9924962481241,0.0,12
NI_BD_R,0.9,484.74237118559284,0.0,12
NI_BD_R,0.9,484.4922461230616,0.0,12
NI_BD_R,0.9,484.2421210605303,0.0,12
NI_BD_R,0.9,483.991995997999,0.0,12
NI_BD_R,0.9,483.7418709354678,0.0,12
NI_BD_R,0.9,483.4917458729365,0.0,12
NI_BD_R,0.9,483.24162081040527,0.0,12
NI_BD_R,0.9,482.99149574787396,0.0,12
NI_BD_R,0.9,482.7413706853427,0.0,12
NI_BD_R,0.9,482.49124562281145,0.0,12
NI_BD_R,0.9,482.2411205602802,0.0,12
NI_BD_R,0.9,481.9909954977489,0.0,12
NI_BD_R,0.9,481.74087043521763,0.0,12
NI_BD_R,0.9,481.4907453726864,0.0,12
NI_BD_R,0.9,481.2406203101551,0.0,12
NI_BD_R,0.9,480.99049524762387,0.0,12
NI_BD_R,0.9,480.74037018509256,0.0,12
NI_BD_R,0.9,480.4902451225613,0.0,12
NI_BD_R,0.9,480.24012006003005,0.0,12
NI_BD_R,0.9,479.9899949974988,0.0,12
NI_BD_R,0.9,479.73986993496754,0.0,12
NI_BD_R,0.9,479.48974487243623,0.0,12
NI_BD_R,0.9,479.239619809905,0.0,12
NI_BD_R,0.9,478.9894947473737,0.0,12
NI_BD_R,0.9,478.7393696848425,0.0,12
NI_BD_R,0.9,478.4892446223112,0.0,12
NI_BD_R,0.9,478.2391195597799,0.0,12
NI_BD_R,0.9,477.98899449724865,0.0,12
NI_BD_R,0.9,477.7388694347174,0.0,12
NI_BD_R,0.9,477.48874437218615,0.0,12
NI_BD_R,0.9,477.23861930965484,0.0,12
NI_BD_R,0.9,476.9884942471236,0.0,12
NI_BD_R,0.9,476.73836918459233,0.0,12
NI_BD_R,0.9,476.4882441220611,0.0,12
NI_BD_R,0.9,476.2381190595298,0.0,12
NI_BD_R,0.9,475.9879939969985,0.0,12
NI_BD_R,0.9,475.73786893446726,0.0,12
NI_BD_R,0.9,475.487743871936,0.0,12
NI_BD_R,0.9,475.23761880940475,0.0,12
NI_BD_R,0.9,474.9874937468735,0.0,12
NI_BD_R,0.9,474.7373686843422,0.0,12
NI_BD_R,0.9,474.48724362181093,0.0,12
NI_BD_R,0.9,474.2371185592797,0.0,12
NI_BD_R,0.9,473.9869934967484,0.0,12
NI_BD_R,0.9,473.7368684342172,0.0,12
NI_BD_R,0.9,473.48674337168586,0.0,12
NI_BD_R,0.9,473.2366183091546,0.0,12
NI_BD_R,0.9,472.98649324662335,0.0,12
NI_BD_R,0.9,472.7363681840921,0.0,12
NI_BD_R,0.9,472.4862431215608,0.0,12
NI_BD_R,0.9,472.23611805902954,0.0,12
NI_BD_R,0.9,471.9859929964983,0.0,12
NI_BD_R,0.9,471.73586793396703,0.0,12
NI_BD_R,0.9,471.4857428714358,0.0,12
NI_BD_R,0.9,471.23561780890446,0.0,12
NI_BD_R,0.9,470.9854927463732,0.0,12
NI_BD_R,0.9,470.73536768384196,0.0,12
NI_BD_R,0.9,470.4852426213107,0.0,12
NI_BD_R,0.9,470.23511755877945,0.0,12
NI_BD_R,0.9,469.98499249624814,0.0,12
NI_BD_R,0.9,469.7348674337169,0.0,12
NI_BD_R,0.9,469.48474237118563,0.0,12
NI_BD_R,0.9,469.2346173086544,0.0,12
NI_BD_R,0.9,468.9844922461231,0.0,12
NI_BD_R,0.9,468.7343671835918,0.0,12
NI_BD_R,0.9,468.48424212106056,0.0,12
NI_BD_R,0.9,468.2341170585293,0.0,12
NI_BD_R,0.9,467.98399199599805,0.0,12
NI_BD_R,0.9,467.73386693346674,0.0,12
NI_BD_R,0.9,467.4837418709355,0.0,12
NI_BD_R,0.9,467.23361680840424,0.0,12
NI_BD_R,0.9,466.983491745873,0.0,12
NI_BD_R,0.9,466.7333666833417,0.0,12
NI_BD_R,0.9,466.4832416208104,0.0,12
NI_BD_R,0.9,466.23311655827916,0.0,12
NI_BD_R,0.9,465.9829914957479,0.0,12
NI_BD_R,0.9,465.73286643321666,0.0,12
NI_BD_R,0.9,465.4827413706854,0.0,12
NI_BD_R,0.9,465.2326163081541,0.0,12
NI_BD_R,0.9,464.98249124562284,0.0,12
NI_BD_R,0.9,464.7323661830916,0.0,12
NI_BD_R,0.9,464.48224112056033,0.0,12
NI_BD_R,0.9,464.2321160580291,0.0,12
NI_BD_R,0.9,463.98199099549777,0.0,12
NI_BD_R,0.9,463.7318659329665,0.0,12
NI_BD_R,0.9,463.48174087043526,0.0,12
NI_BD_R,0.9,463.231615807904,0.0,12
NI_BD_R,0.9,462.9814907453727,0.0,12
NI_BD_R,0.9,462.73136568284144,0.0,12
NI_BD_R,0.9,462.4812406203102,0.0,12
NI_BD_R,0.9,462.23111555777893,0.0,12
NI_BD_R,0.9,461.9809904952477,0.0,12
NI_BD_R,0.9,461.73086543271637,0.0,12
NI_BD_R,0.9,461.4807403701851,0.0,12
NI_BD_R,0.9,461.23061530765386,0.0,12
NI_BD_R,0.9,460.9804902451226,0.0,12
NI_BD_R,0.9,460.73036518259136,0.0,12
NI_BD_R,0.9,460.48024012006005,0.0,12
NI_BD_R,0.9,460.2301150575288,0.0,12
NI_BD_R,0.9,459.97998999499754,0.0,12
NI_BD_R,0.9,459.7298649324663,0.0,12
NI_BD_R,0.9,459.479739869935,0.0,12
NI_BD_R,0.9,459.2296148074037,0.0,12
NI_BD_R,0.9,458.97948974487247,0.0,12
NI_BD_R,0.9,458.7293646823412,0.0,12
NI_BD_R,0.9,458.47923961980996,0.0,12
NI_BD_R,0.9,458.22911455727865,0.0,12
NI_BD_R,0.9,457.9789894947474,0.0,12
NI_BD_R,0.9,457.72886443221614,0.0,12
NI_BD_R,0.9,457.4787393696849,0.0,12
NI_BD_R,0.9,457.22861430715363,0.0,12
NI_BD_R,0.9,456.9784892446223,0.0,12
NI_BD_R,0.9,456.72836418209107,0.0,12
NI_BD_R,0.9,456.4782391195598,0.0,12
NI_BD_R,0.9,456.22811405702856,0.0,12
NI_BD_R,0.9,455.9779889944973,0.0,12
NI_BD_R,0.9,455.727863931966,0.0,12
NI_BD_R,0.9,455.47773886943475,0.0,12
NI_BD_R,0.9,455.2276138069035,0.0,12
NI_BD_R,0.9,454.97748874437224,0.0,12
NI_BD_R,0.9,454.7273636818409,0.0,12
NI_BD_R,0.9,454.4772386193097,0.0,12
NI_BD_R,0.9,454.2271135567784,0.0,12
NI_BD_R,0.9,453.97698849424717,0.0,12
NI_BD_R,0.9,453.7268634317159,0.0,12
NI_BD_R,0.9,453.4767383691846,0.0,12
NI_BD_R,0.9,453.22661330665335,0.0,12
NI_BD_R,0.9,452.9764882441221,0.0,12
NI_BD_R,0.9,452.72636318159084,0.0,12
NI_BD_R,0.9,452.4762381190596,0.0,12
NI_BD_R,0.9,452.2261130565283,0.0,12
NI_BD_R,0.9,451.975987993997,0.0,12
NI_BD_R,0.9,451.72586293146577,0.0,12
NI_BD_R,0.9,451.4757378689345,0.0,12
NI_BD_R,0.9,451.22561280640326,0.0,12
NI_BD_R,0.9,450.97548774387195,0.0,12
NI_BD_R,0.9,450.7253626813407,0.0,12
NI_BD_R,0.9,450.47523761880944,0.0,12
NI_BD_R,0.9,450.2251125562782,0.0,12
NI_BD_R,0.9,449.9749874937469,0.0,12
NI_BD_R,0.9,449.7248624312156,0.0,12
NI_BD_R,0.9,449.4747373686844,0.0,12
NI_BD_R,0.9,449.2246123061531,0.0,12
NI_BD_R,0.9,448.97448724362187,0.0,12
NI_BD_R,0.9,448.72436218109056,0.0,12
NI_BD_R,0.9,448.4742371185593,0.0,12
NI_BD_R,0.9,448.22411205602805,0.0,12
NI_BD_R,0.9,447.9739869934968,0.0,12
NI_BD_R,0.9,447.72386193096554,0.0,12
NI_BD_R,0.9,447.47373686843423,0.0,12
NI_BD_R,0.9,447.223611805903,0.0,12
NI_BD_R,0.9,446.9734867433717,0.0,12
NI_BD_R,0.9,446.72336168084047,0.0,12
NI_BD_R,0.9,446.4732366183092,0.0,12
NI_BD_R,0.9,446.2231115557779,0.0,12
NI_BD_R,0.9,445.97298649324665,0.0,12
NI_BD_R,0.9,445.7228614307154,0.0,12
NI_BD_R,0.9,445.47273636818414,0.0,12
NI_BD_R,0.9,445.22261130565283,0.0,12
NI_BD_R,0.9,444.9724862431216,0.0,12
NI_BD_R,0.9,444.7223611805903,0.0,12
NI_BD_R,0.9,444.4722361180591,0.0,12
NI_BD_R,0.9,444.2221110555278,0.0,12
NI_BD_R,0.9,443.9719859929965,0.0,12
NI_BD_R,0.9,443.72186093046525,0.0,12
NI_BD_R,0.9,443.471735867934,0.0,12
NI_BD_R,0.9,443.22161080540275,0.0,12
NI_BD_R,0.9,442.9714857428715,0.0,12
NI_BD_R,0.9,442.7213606803402,0.0,12
NI_BD_R,0.9,442.47123561780893,0.0,12
NI_BD_R,0.9,442.2211105552777,0.0,12
NI_BD_R,0.9,441.9709854927464,0.0,12
NI_BD_R,0.9,441.72086043021517,0.0,12
NI_BD_R,0.9,441.47073536768386,0.0,12
NI_BD_R,0.9,441.2206103051526,0.0,12
NI_BD_R,0.9,440.97048524262135,0.0,12
